symbol,code-length
0,3
1,6
2,5
3,7
4,7
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,9
17,8
18,8
19,7
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,6
31,6
32,8
33,9
34,8
35,8
36,8
37,9
38,8
39,8
40,9
41,9
42,8
43,8
44,8
45,8
46,8
47,8
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,8
59,8
60,8
61,8
62,8
63,7
64,8
65,8
66,8
67,9
68,8
69,8
70,8
71,8
72,8
73,8
74,9
75,8
76,9
77,9
78,8
79,8
80,8
81,9
82,9
83,8
84,8
85,9
86,9
87,8
88,8
89,8
90,9
91,9
92,9
93,8
94,8
95,7
96,8
97,7
98,7
99,7
100,7
101,7
102,7
103,9
104,9
105,8
106,9
107,8
108,9
109,8
110,9
111,8
112,8
113,9
114,9
115,8
116,8
117,9
118,9
119,9
120,9
121,9
122,9
123,9
124,9
125,9
126,8
127,7
128,8
129,9
130,8
131,8
132,8
133,9
134,9
135,8
136,8
137,9
138,9
139,9
140,9
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,8
149,9
150,9
151,9
152,9
153,9
154,9
155,9
156,9
157,9
158,9
159,7
160,8
161,9
162,9
163,9
164,9
165,9
166,9
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,7
192,8
193,9
194,9
195,9
196,9
197,9
198,9
199,9
200,9
201,9
202,9
203,9
204,9
205,9
206,9
207,9
208,9
209,9
210,9
211,9
212,9
213,9
214,9
215,9
216,9
217,9
218,9
219,9
220,9
221,9
222,9
223,7
224,8
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,7
